,Country,Number,Month
0,          Alemanya  ,21369.0,January
1,          Àustria  ,2881.0,January
2,          Bèlgica  ,5932.0,January
3,          Bulgària  ,683.0,January
4,          Xipre  ,291.0,January
5,          Croàcia  ,438.0,January
6,          Dinamarca  ,2696.0,January
7,          Eslovàquia  ,531.0,January
8,          Eslovènia  ,406.0,January
9,          Estònia  ,278.0,January
10,          Finlàndia  ,2824.0,January
11,          França  ,37162.0,January
12,          Grècia  ,1644.0,January
13,          Hongria  ,1277.0,January
14,          Irlanda  ,5095.0,January
15,          Itàlia  ,31652.0,January
16,          Letònia  ,222.0,January
17,          Lituània  ,443.0,January
18,          Luxemburg  ,223.0,January
19,          Malta  ,99.0,January
20,          Països Baixos  ,8550.0,January
21,          Polònia  ,4337.0,January
22,          Portugal  ,5313.0,January
23,          Regne Unit  ,32935.0,January
24,          Republica Checa  ,1124.0,January
25,          Romania  ,1179.0,January
26,          Suècia  ,4492.0,January
27,          Resta Unió Europea  ,2208.0,January
28,          Islàndia  ,156.0,January
29,          Liechtenstein  ,86.0,January
30,          Noruega  ,1903.0,January
31,          Rússia  ,8336.0,January
32,          Suïssa  ,6031.0,January
33,          Turquia  ,3956.0,January
34,          Ucraïna  ,883.0,January
35,          Resta d'Europa  ,6500.0,January
36,          Argentina  ,3662.0,January
37,          Brasil  ,4832.0,January
38,          Canada  ,2522.0,January
39,          Estats Units  ,19799.0,January
40,          Mèxic  ,2039.0,January
41,          Resta d'Amèrica   ,9840.0,January
42,          Sudàfrica  ,267.0,January
43,          Resta d'Àfrica  ,10350.0,January
44,          Japó  ,9597.0,January
45,          Xina  ,5820.0,January
46,          Corea Del Sud  ,3780.0,January
47,          Resta d'Àsia  ,14017.0,January
48,          Austràlia  ,3332.0,January
49,          Resta del món  ,23238.0,January
50,          Alemanya  ,26635.0,February
51,          Àustria  ,3550.0,February
52,          Bèlgica  ,7660.0,February
53,          Bulgària  ,705.0,February
54,          Xipre  ,191.0,February
55,          Croàcia  ,1113.0,February
56,          Dinamarca  ,3754.0,February
57,          Eslovàquia  ,384.0,February
58,          Eslovènia  ,395.0,February
59,          Estònia  ,280.0,February
60,          Finlàndia  ,2862.0,February
61,          França  ,43656.0,February
62,          Grècia  ,2067.0,February
63,          Hongria  ,1329.0,February
64,          Irlanda  ,5246.0,February
65,          Itàlia  ,31830.0,February
66,          Letònia  ,210.0,February
67,          Lituània  ,857.0,February
68,          Luxemburg  ,340.0,February
69,          Malta  ,290.0,February
70,          Països Baixos  ,10703.0,February
71,          Polònia  ,4685.0,February
72,          Portugal  ,6984.0,February
73,          Regne Unit  ,45065.0,February
74,          Republica Checa  ,1352.0,February
75,          Romania  ,1862.0,February
