,Month/year,Total,Alemanya,Bèlgica,França,Irlanda,Itàlia,Països Baixos,Nordic countries,Portugal,Regne Unit,Rússia,Suïssa,Resta d'Europa,Estats Units,Rest d'America,Resta del món
24,Dec-16,956500.0,59900.0,14100.0,281000.0,10300.0,87600.0,21000.0,36100.0,6900.0,70400.0,17400.0,22000.0,104800.0,48600.0,49300.0,127100.0
25,Nov-16,1010000.0,92900.0,19100.0,239100.0,17000.0,72700.0,26000.0,37900.0,5200.0,93500.0,20100.0,12300.0,154200.0,48200.0,57000.0,114700.0
26,Oct-16,1562900.0,140200.0,23800.0,397600.0,22800.0,74700.0,45600.0,78200.0,28600.0,182200.0,36600.0,24100.0,178000.0,74500.0,87100.0,168800.0
27,Sep-16,1876900.0,191500.0,46900.0,354900.0,37900.0,89600.0,66900.0,95300.0,19400.0,249000.0,73300.0,46100.0,196200.0,106600.0,92700.0,210500.0
28,Aug-16,2501200.0,194900.0,65000.0,788800.0,55600.0,194100.0,152800.0,59500.0,22600.0,290100.0,93500.0,17500.0,208600.0,85600.0,79900.0,192600.0
29,Jul-16,2394800.0,174400.0,109300.0,557400.0,73700.0,129600.0,131200.0,109100.0,10900.0,255400.0,84900.0,23500.0,239800.0,131700.0,113800.0,250000.0
30,Jun-16,1850800.0,160200.0,31900.0,364700.0,46700.0,138700.0,51700.0,80900.0,24500.0,281800.0,92900.0,29900.0,166200.0,137700.0,79700.0,163400.0
31,May-16,1630400.0,149900.0,39200.0,444100.0,34400.0,66400.0,67700.0,67200.0,29100.0,203000.0,51500.0,35400.0,133900.0,78800.0,68400.0,161400.0
32,Apr-16,1483000.0,143100.0,27300.0,471600.0,25000.0,108700.0,75100.0,65200.0,15700.0,162500.0,29600.0,22100.0,113500.0,44000.0,57500.0,122300.0
33,Mar-16,1076400.0,100200.0,18800.0,216300.0,13700.0,74700.0,39100.0,51300.0,23900.0,117800.0,18900.0,32600.0,149800.0,56100.0,46400.0,116800.0
34,Feb-16,930400.0,70300.0,23000.0,241800.0,3400.0,76300.0,31400.0,39600.0,15000.0,89200.0,15900.0,30300.0,83600.0,31900.0,51300.0,127400.0
35,Jan-16,865800.0,61100.0,16700.0,216900.0,13500.0,75800.0,28900.0,24200.0,13900.0,66100.0,26900.0,27600.0,106600.0,20300.0,53700.0,113600.0
