Foreign tourists. By country of residence
Catalonia. 
Value
"Source: Idescat, based on data of the INE's Tourist Movement on Borders Survey and Tourist Expenditure Survey."
Notes:
"- Starting in January 2016, Idescat has been publishing, on a monthly basis, information on foreign tourists whose main destination is Catalonia. Before said date, all information was issued on a quarterly basis and referred to <a class="hipervincle" href="/economia/inec?tc=3&id=0315">foreign tourists who visited Catalonia as either their main or secondary destination</a>."
- Rates of variation for 2016 are chained rates provided by the INE.
(p) Provisional data
(*) Estimate with high variability.
"(..) Confidential data, low reliability or not available."
Institut d'Estadística de Catalunya
https://www.idescat.cat/indicadors/?id=conj&n=10306&col=1&lang=en
,Total,Germany,Belgium,France,Ireland,Italy,Netherlands,Nordic countries,Portugal,United Kingdom,Russia,Switzerland,Rest of EU,United States,Rest of America,Rest of the world
05/2019 (p),1831.0,129.7,20.2,369.8,41.7,110.8,74.6,68.0,18.2,219.3,80.5,13.3 (*),205.9,170.1,128.2,180.7
04/2019 (p),1677.1,143.6,23.9,409.4,26.6,126.1,52.3,60.2,18.5,162.6,36.3,32.1,162.7,114.3,97.0,211.6
03/2019 (p),1276.6,96.6,29.4,267.1,16.5,104.7,33.0,32.7,0.0,104.1,40.0,33.1,124.8,93.8,82.9,205.5
02/2019 (p),1029.8,58.8,15.3,223.8,12.4,64.7,29.1,25.7,13.4,94.3,28.5,22.3,159.3,58.1,80.2,144.1
01/2019 (p),910.8,54.5,18.4,176.3,10.3,64.3,17.4,21.0,0.0,79.0,40.4,16.1,119.9,57.1,66.3,157.9
12/2018 (p),977.2,58.6,14.6,199.0,11.9,100.6,21.9,23.5,0.0,92.7,24.9,14.7,118.1,62.1,57.7,169.0
11/2018 (p),1040.7,71.3,23.9,193.9,8.9,76.0,26.2,33.5,9.4,92.5,27.2,22.9,124.6,80.2,65.2,184.8
10/2018 (p),1655.6,129.4,22.3,311.1,29.0,94.1,69.9,75.5,0.0,184.3,49.0,12.0,218.2,148.0,91.8,211.1
09/2018 (p),2005.3,162.9,41.8,343.0,33.4,117.2,66.5,54.1,35.0,258.5,108.4,21.7,262.2,131.9,125.6,243.2
08/2018 (p),2439.0,186.7,57.6,755.5,45.1,160.9,118.6,66.7,17.4,278.0,107.4,22.1,240.6,103.8,97.6,180.8
07/2018 (p),2385.7,175.1,67.9,516.0,53.5,114.2,153.1,125.3,28.1,221.0,119.2,36.3,229.7,172.0,116.5,257.9
06/2018 (p),2090.4,136.7,37.7,308.1,48.4,100.6,67.0,103.1,20.1,279.6,117.2,20.5,275.2,211.1,100.7,264.4
05/2018,1885.4,154.1,31.1,444.3,30.2,77.8,65.8,84.7,16.4,211.1,53.9,22.5,226.8,160.9,114.4,191.3
04/2018,1570.9,94.4,38.8,405.9,19.4,115.5,55.6,46.9,13.9,158.6,40.9,12.5,191.1,111.7,92.4,173.5
03/2018,1217.3,122.4,28.0,261.7,10.7 (*),79.2,32.4,48.0,9.3 (*),138.3,30.5,20.3,141.5,79.4,63.5,152.0
02/2018,1015.8,85.7,20.2,218.4,11.7,66.7,29.9,28.1,17.2,97.8,21.7,19.1,124.0,44.0,86.1,145.1
01/2018,864.8,40.6,17.8,179.8,8.8 (*),93.9,29.7,17.7,6.5 (*),74.4,26.3,22.3,103.1,54.7,70.1,119.1
12/2017,822.8,50.5,16.5,176.4,11.0,82.7,19.6,25.5,12.1,65.8,26.7,30.0,65.3,57.5,62.9,120.3
11/2017,981.5,77.7,20.3,219.5,10.3,71.3,22.7,31.3,7.3 (*),92.5,23.8,25.8,139.3,57.0,69.1,113.5
10/2017,1497.0,123.6,32.4,296.8,21.1,83.7,64.5,76.2,9.7,159.9,35.5,51.8,172.9,87.1,109.0,172.8
09/2017,1999.7,210.7,56.1,355.1,27.4,105.2,72.6,75.6,19.4,250.2,102.5,47.9,187.0,168.7,131.3,190.0
08/2017,2567.6,196.6,56.4,749.0,36.1,139.3,155.6,87.6,28.2,339.0,115.3,16.8,237.8,96.7,97.6,215.7
07/2017,2557.1,188.5,85.8,596.0,49.5,136.0,183.3,134.1,12.1 (*),260.6,117.1,46.4,255.3,144.4,106.8,241.2
06/2017,2026.4,164.5,38.1,353.6,50.3,96.9,74.2,100.3,28.9,287.4,101.1,32.1,194.8,161.6,114.1,228.4
05/2017,1920.9,146.4,37.9,481.6,58.6,113.3,76.4,76.6,8.0 (*),247.4,54.4,24.5,161.7,124.7,99.9,209.7
04/2017,1755.0,152.1,46.6,530.2,25.8,134.4,43.8,84.5,18.6,157.3,42.4,55.1,125.7,71.8,85.2,181.5
03/2017,1155.0,93.6,19.5,261.2,..,96.3,23.5,39.5,10.5,131.5,23.4,27.2,164.7,74.6,54.7,133.3
02/2017,989.2,95.5,19.6,273.9,5.9 (*),67.0,28.3,23.6,12.9 (*),115.5,23.6,27.3,108.5,35.5,60.9,91.4
01/2017,846.2,69.1,17.7,194.0,2.8 (*),82.8,21.0,30.6,6.3 (*),67.4,35.7,14.4,99.2,34.5,63.4,107.3
