Hotel establishments. Travellers. By origin
Catalonia. 
Value
Units: Thousands.
"Source: Idescat, based on the INE's Hotel Occupancy Survey."
"(1) Asturias, Cantabria, Castile and Leon, Galicia, La Rioja and Navarra."
"(2) Canary Is, Castile-La Mancha, Extremadura, Murcia and Ceuta and Melilla."
"(3) Denmark, Finland, Norway and Sweden."
(4) Rest EU: the data after July 2013 includes Croatia.
 
Note: Definitive data from January 2011 to May 2018.
(p) Provisional data
Institut d'Estadística de Catalunya
https://www.idescat.cat/indicadors/?id=conj&n=10288&col=1&lang=en
,Total travellers,Domestic tourism,Andalusia,Aragon,Balearic Is,Catalonia,Valencia,Madrid,Basque Country,rest AACC North (1),rest AACC South (2),Foreign tourism,Germany,Belgium,France,Ireland,Italy,Netherlands,Nordic countries (3),Portugal,United Kingdom,Rest EU(4),Russia,Switzerland,Rest of Europe,Japan,United States,Rest of America,Rest of the world
05/2019 (p),2020.4,648.2,31.9,20.8,10.4,387.3,39.0,73.1,26.3,35.6,23.7,1372.2,84.7,31.5,264.7,22.6,76.4,44.0,49.3,17.9,185.9,84.2,51.1,23.1,39.3,19.8,134.5,95.3,147.8
04/2019 (p),1792.6,653.3,34.7,19.6,12.3,361.2,36.0,71.1,51.8,43.6,23.0,1139.3,81.4,31.6,234.9,14.1,75.3,33.3,50.3,22.1,112.8,73.9,25.8,27.9,31.7,21.9,89.9,76.0,136.2
03/2019 (p),1364.1,538.7,34.8,13.2,9.4,299.5,33.6,66.7,22.0,37.9,21.7,825.3,58.0,17.5,133.2,7.9,77.1,23.4,32.4,16.5,73.9,54.6,24.1,15.5,25.3,21.0,78.9,55.7,110.2
02/2019 (p),1076.9,436.1,22.6,10.1,9.7,242.8,28.1,60.4,17.1,29.2,16.0,640.8,40.8,11.1,105.0,7.4,48.2,16.9,20.4,11.3,59.5,42.7,16.0,11.2,21.0,21.0,46.8,43.5,118.0
01/2019 (p),959.1,371.9,20.5,8.4,8.1,206.7,23.9,51.8,13.1,21.3,18.2,587.2,35.5,11.7,93.8,5.9,46.8,17.2,16.1,10.7,44.7,37.6,19.2,9.0,23.9,13.4,45.4,45.7,110.4
12/2018 (p),1077.2,480.6,21.5,10.7,9.8,291.5,29.6,55.3,20.3,24.2,17.6,596.6,32.7,11.1,97.7,5.2,56.9,15.3,17.3,12.3,51.9,34.5,13.7,10.0,19.4,15.3,47.2,42.0,114.3
11/2018 (p),1117.7,421.2,22.3,9.7,10.2,228.1,26.0,61.7,18.7,26.2,18.4,696.5,51.0,12.5,101.3,6.5,55.2,19.5,25.9,13.5,62.7,46.3,16.9,13.8,20.5,15.8,70.3,53.8,111.2
10/2018 (p),1789.1,599.4,31.1,15.5,10.5,353.3,36.5,66.6,27.2,35.0,23.8,1189.8,88.6,31.5,227.6,18.7,60.5,46.2,51.1,19.4,134.8,71.3,30.0,25.8,28.8,16.0,110.8,80.8,147.9
09/2018 (p),2099.4,711.6,27.8,26.1,10.0,445.5,34.9,64.9,31.0,47.5,23.8,1387.8,98.1,41.0,222.5,21.8,70.8,50.7,49.1,23.2,185.6,106.4,74.6,24.5,48.4,17.0,109.9,89.8,154.5
08/2018 (p),2466.4,890.3,33.6,34.4,8.5,561.0,47.7,67.5,52.4,54.1,31.1,1576.2,98.0,44.6,417.3,24.9,97.3,61.3,37.1,26.3,180.3,90.7,82.2,21.9,43.9,15.5,98.8,82.5,153.7
07/2018 (p),2381.3,834.4,37.9,37.0,10.6,499.9,44.1,77.6,37.6,60.0,29.7,1547.0,112.9,61.3,268.0,24.0,69.7,69.8,70.6,20.7,172.5,93.3,85.6,34.4,45.9,12.4,139.1,98.1,168.6
06/2018 (p),2175.7,774.9,33.8,35.4,9.1,465.6,39.2,76.7,37.6,51.5,26.1,1400.8,90.4,37.7,211.3,25.5,67.3,53.3,52.2,18.6,188.6,97.5,84.4,24.0,51.1,16.4,131.5,87.4,163.6
05/2018,1956.3,627.8,28.2,24.8,7.2,376.1,34.1,62.7,27.5,44.0,23.0,1328.5,96.6,33.1,295.3,18.4,58.8,54.8,51.5,16.5,167.4,78.1,40.4,22.5,37.7,13.5,116.1,87.7,140.1
04/2018,1647.4,614.9,29.9,25.5,10.3,337.0,36.0,68.4,35.8,44.4,27.6,1032.5,66.9,30.4,236.7,14.0,70.3,32.4,47.3,20.9,93.1,60.2,24.2,21.9,29.6,12.2,85.2,60.8,126.4
03/2018,1386.7,586.4,26.8,14.7,10.1,342.2,35.0,65.8,26.0,42.4,23.5,800.3,68.3,19.2,131.0,7.4,67.5,25.9,35.3,14.2,84.7,47.8,18.9,17.2,23.6,16.3,67.7,52.8,102.4
02/2018,1021.0,421.9,19.3,12.6,8.4,231.9,24.7,56.1,16.0,28.6,24.3,599.1,44.6,14.0,98.5,6.1,44.1,16.4,24.1,12.5,58.3,34.2,14.5,11.2,16.1,16.6,41.0,42.1,105.0
01/2018,927.0,382.6,21.5,13.3,8.4,200.1,25.2,56.1,15.7,24.8,17.4,544.5,36.5,11.1,97.3,6.3,45.9,18.4,18.4,11.5,43.5,29.3,18.4,9.6,19.3,9.8,36.3,45.5,87.3
12/2017,977.1,472.4,21.9,11.5,10.6,283.9,28.5,53.3,17.5,26.6,18.7,504.7,30.6,10.9,92.8,3.9,49.0,14.1,15.5,10.4,40.7,25.6,11.6,10.6,14.9,11.0,35.8,37.1,90.2
11/2017,993.6,415.4,22.5,12.9,9.5,228.6,27.5,55.5,15.7,24.6,18.6,578.3,43.4,12.9,89.7,6.5,41.8,18.1,25.0,11.3,51.5,35.7,13.5,11.1,18.9,12.7,52.1,45.2,88.7
10/2017,1661.4,593.1,25.3,21.4,10.8,362.5,34.5,61.5,22.1,32.7,22.2,1068.4,79.8,26.7,208.1,13.0,51.0,46.3,51.8,15.1,121.7,65.1,22.5,22.1,25.1,15.9,90.9,77.3,136.0
09/2017,2063.4,709.5,31.5,25.9,8.8,433.0,35.0,70.0,26.7,53.6,25.0,1353.9,104.7,44.8,222.1,20.2,57.3,51.4,55.8,19.4,192.4,96.5,69.6,24.5,40.0,17.7,115.1,82.4,139.8
08/2017,2434.9,879.5,32.4,39.8,8.7,536.6,42.9,78.2,45.3,64.2,31.5,1555.4,104.1,45.6,365.8,23.7,96.8,64.8,41.9,27.0,193.7,94.6,85.0,22.6,39.9,16.8,87.1,81.5,164.4
07/2017,2471.0,860.5,41.0,47.1,10.3,483.4,41.2,90.5,42.3,71.1,33.5,1610.5,124.7,69.6,284.0,26.9,75.9,71.2,81.2,20.0,201.7,96.2,95.4,32.0,45.6,13.0,117.0,92.0,164.1
06/2017,2181.4,817.6,39.1,38.9,10.4,495.8,35.8,77.3,37.7,54.7,27.8,1363.9,112.8,34.1,208.9,25.8,70.4,42.9,58.7,18.2,193.3,96.3,83.4,25.5,41.9,17.1,123.4,84.1,127.1
05/2017,1910.6,626.6,29.4,24.8,9.3,360.4,36.8,69.7,25.9,38.7,31.7,1284.0,85.3,35.2,266.1,17.6,63.9,51.4,53.8,17.1,173.8,74.5,37.3,21.1,33.2,17.0,112.8,82.1,141.8
04/2017,1835.4,719.6,29.4,23.1,11.8,395.8,45.4,83.9,51.3,49.1,29.8,1115.8,78.3,29.2,285.9,11.9,76.4,34.3,49.9,18.2,107.5,63.5,22.0,26.8,27.8,14.2,79.5,64.4,126.1
03/2017,1318.8,545.3,28.6,15.1,8.4,291.1,36.4,69.8,27.7,41.2,27.0,773.5,62.2,16.5,139.0,7.6,64.1,20.6,33.9,13.2,77.2,48.0,17.5,15.9,24.2,20.3,58.9,49.3,105.0
02/2017,1023.7,435.4,19.2,10.7,9.9,242.1,27.9,56.6,20.9,29.1,18.8,588.3,38.8,12.2,114.6,6.9,42.1,16.2,21.8,11.8,64.0,33.1,12.0,11.2,21.2,16.2,33.5,38.5,94.2
01/2017,900.5,379.0,18.6,9.6,8.4,196.6,30.0,57.1,17.0,23.5,18.2,521.6,34.7,10.4,88.3,5.7,46.1,15.9,16.6,9.5,44.5,29.6,14.0,10.6,18.5,14.3,29.3,40.2,93.3
12/2016,1011.4,476.1,20.2,10.8,9.9,293.1,25.5,56.4,18.7,24.4,17.0,535.3,41.9,9.8,97.6,4.4,51.2,12.9,14.7,11.9,43.8,27.4,11.4,12.4,17.6,13.3,34.3,35.3,95.4
11/2016,1013.5,413.1,22.6,11.4,11.6,212.4,25.7,60.4,23.1,28.5,17.4,600.3,44.2,13.5,104.5,7.5,48.4,20.3,29.0,11.6,59.9,38.4,11.8,12.4,19.7,11.1,41.1,40.8,86.1
10/2016,1731.0,628.1,24.4,15.1,11.6,375.4,38.1,67.2,34.4,36.4,25.5,1102.9,96.2,30.7,221.1,16.3,57.6,37.4,56.0,17.7,132.3,69.3,23.1,25.1,32.3,14.3,83.2,69.9,120.4
09/2016,1968.1,698.6,29.4,24.7,9.8,417.5,36.8,67.3,36.7,46.4,30.0,1269.4,103.1,40.3,206.8,19.3,58.9,47.8,55.7,16.7,183.1,91.6,57.8,21.4,44.6,16.1,95.7,77.1,133.5
08/2016,2438.9,910.4,32.1,38.8,9.4,552.1,48.7,80.0,54.7,62.9,31.7,1528.4,122.3,47.2,392.4,21.6,105.0,62.8,42.5,22.0,193.9,83.5,67.6,24.1,35.9,13.6,83.4,64.6,146.1
07/2016,2403.0,874.6,34.0,39.9,11.6,500.3,42.5,92.0,50.2,72.9,31.2,1528.4,129.4,70.4,282.3,24.6,67.7,65.1,80.8,18.1,201.2,96.3,67.2,34.4,39.6,11.0,106.6,78.9,154.8
06/2016,2030.2,779.1,27.9,30.1,10.3,475.2,41.9,72.4,39.6,53.4,28.3,1251.1,99.4,34.0,225.8,19.5,65.2,38.2,55.5,17.6,190.1,81.5,59.7,22.7,37.0,14.0,112.7,67.2,111.1
05/2016,1869.1,668.9,30.4,19.4,9.4,391.0,40.7,74.1,31.3,42.1,30.5,1200.2,98.4,30.7,277.3,14.5,56.0,44.8,45.9,14.3,162.3,69.7,35.7,22.0,39.1,14.3,85.4,66.3,123.5
04/2016,1483.0,542.8,34.0,16.0,10.9,284.6,34.3,69.6,31.1,38.1,24.0,940.2,68.0,22.5,235.8,10.5,75.7,34.1,43.6,12.4,103.3,60.0,15.1,18.1,28.4,13.5,57.2,43.0,98.8
03/2016,1330.5,624.8,25.6,16.6,9.8,361.9,35.1,65.9,40.2,45.1,24.6,705.7,65.8,19.7,110.6,9.8,56.0,19.5,34.4,13.8,86.8,41.2,13.3,18.6,19.6,17.1,50.8,37.5,91.4
02/2016,986.3,443.2,20.9,10.4,9.4,256.0,26.4,56.3,19.6,26.5,17.6,543.1,37.7,11.6,97.2,7.2,42.1,15.8,21.6,11.0,61.2,31.8,8.4,9.5,16.4,15.3,32.8,30.0,93.5
01/2016,829.6,379.4,19.9,8.6,7.3,210.1,24.3,49.2,18.5,22.6,19.0,450.2,30.9,8.3,78.2,6.0,42.4,11.6,14.7,8.5,42.6,25.7,12.5,7.8,17.8,11.1,23.6,28.7,79.7
12/2015,933.8,455.8,16.4,10.9,8.1,281.1,27.5,52.2,17.8,24.0,17.9,477.9,31.5,10.4,95.2,4.5,49.7,13.6,14.9,9.0,43.0,24.7,10.7,11.6,16.9,12.5,28.9,25.7,75.1
11/2015,961.2,386.8,17.0,9.1,7.5,219.7,20.8,50.5,16.3,26.8,19.0,574.4,42.5,15.8,93.8,6.7,44.3,20.3,29.3,9.5,57.8,37.1,14.1,10.0,21.4,15.2,43.7,35.5,77.6
10/2015,1627.0,609.2,23.5,14.3,9.0,373.6,39.3,67.0,23.5,35.8,23.2,1017.8,82.5,23.5,209.7,13.7,51.0,39.2,54.5,11.2,135.0,57.1,20.2,27.1,27.9,14.7,81.0,61.2,108.1
09/2015,1794.4,638.8,25.4,23.9,7.3,395.2,30.4,52.3,38.3,43.0,23.1,1155.6,92.5,40.1,191.3,17.1,58.0,46.8,51.6,14.6,166.2,73.5,51.0,25.9,43.4,17.9,85.7,64.2,115.8
08/2015,2365.4,893.7,27.7,44.7,6.8,553.4,45.0,68.7,56.8,60.2,30.4,1471.7,120.9,47.9,405.4,17.5,95.9,62.9,41.8,17.4,175.9,69.4,68.2,23.5,35.8,17.7,75.1,58.9,137.6
07/2015,2126.6,780.3,30.7,39.0,8.5,466.6,35.7,67.8,43.7,59.6,28.8,1346.3,107.7,72.4,249.9,19.2,59.2,66.0,77.4,14.0,162.9,79.7,67.5,31.5,32.3,11.5,96.8,69.1,129.1
06/2015,1856.6,718.6,23.7,29.4,8.8,445.6,33.3,63.3,39.8,49.2,25.5,1138.0,91.3,36.5,190.4,18.6,57.9,41.4,51.3,14.4,153.7,73.0,57.5,19.5,38.0,14.0,102.4,60.8,117.4
05/2015,1812.2,647.4,26.2,18.9,7.6,387.2,33.0,54.3,51.1,38.1,31.1,1164.8,89.5,29.6,309.5,13.3,58.0,55.6,45.2,13.9,144.4,58.1,31.7,23.3,33.4,13.2,80.2,58.0,107.8
04/2015,1486.7,562.0,25.1,16.9,7.7,327.8,35.3,48.5,42.1,35.5,23.0,924.8,69.6,28.2,241.6,9.2,67.5,30.8,44.6,12.1,97.8,53.8,14.5,21.6,24.2,15.1,58.8,39.9,95.3
03/2015,1106.3,494.1,26.0,12.6,9.5,276.5,25.3,60.6,27.6,32.7,23.2,612.3,57.7,13.4,95.8,6.1,49.3,20.0,32.6,12.1,69.0,34.9,10.8,12.4,18.6,16.6,45.1,34.1,83.8
02/2015,868.8,399.9,19.1,11.9,7.2,232.4,22.4,46.0,18.8,25.5,16.6,468.8,33.8,8.7,91.2,5.4,35.1,16.1,20.4,10.4,56.1,24.8,6.6,8.6,16.1,15.2,26.4,25.5,68.4
01/2015,747.4,348.6,16.1,8.8,6.1,198.7,19.6,43.6,19.0,22.0,14.8,398.7,29.5,9.6,72.7,4.1,40.4,11.2,12.3,7.5,34.8,20.3,16.2,6.8,12.7,11.1,19.3,27.4,62.6
12/2014,925.7,460.5,23.1,11.5,9.3,278.0,27.9,46.7,21.4,24.6,18.0,465.2,31.0,11.1,96.0,3.5,45.8,14.9,17.4,10.4,41.6,24.1,10.8,11.0,16.6,14.8,25.8,25.5,64.8
11/2014,893.3,398.4,21.0,9.0,7.2,227.3,23.0,45.1,17.2,30.5,18.2,494.9,36.9,10.2,83.1,5.3,38.3,17.6,26.5,10.2,52.4,32.7,12.4,8.7,15.9,13.3,38.4,31.9,61.0
10/2014,1483.1,514.3,23.2,14.1,9.0,304.0,33.2,49.5,20.0,34.0,27.4,968.8,85.7,25.3,188.9,10.5,43.3,39.8,55.5,12.9,126.1,56.7,27.9,24.4,32.2,14.3,71.1,54.0,100.2
09/2014,1744.2,593.7,28.8,25.1,8.5,366.1,28.4,48.5,24.0,40.5,23.8,1150.5,92.0,34.3,173.8,14.9,52.1,45.5,51.9,16.1,160.0,73.9,105.5,27.9,35.1,17.1,79.2,63.2,107.9
08/2014,2264.0,784.0,33.5,38.2,7.4,485.6,43.9,57.4,38.2,52.8,27.0,1480.0,127.3,47.1,391.7,15.4,89.0,60.1,40.1,17.5,166.2,69.2,134.8,21.3,34.3,17.8,69.5,55.1,123.6
07/2014,2026.6,700.0,39.5,33.2,9.6,394.9,35.4,62.3,38.0,56.5,30.6,1326.6,108.6,57.5,209.3,15.5,58.2,58.8,76.4,12.7,153.5,84.9,144.7,29.9,37.0,15.9,89.9,62.6,111.3
06/2014,1830.5,655.3,29.0,26.6,8.2,402.0,32.9,53.6,32.2,45.4,25.3,1175.2,109.9,30.6,183.1,14.0,51.3,42.8,53.9,13.9,156.0,71.5,131.9,25.6,35.7,14.2,88.5,51.2,101.1
05/2014,1646.8,553.0,28.7,18.8,7.8,324.3,28.7,59.5,28.1,34.7,22.4,1093.9,72.3,28.4,262.5,12.7,53.1,39.5,51.3,12.3,155.3,56.7,63.4,19.0,29.4,14.7,73.6,56.8,92.8
04/2014,1406.4,574.9,23.1,17.8,9.4,320.9,40.7,54.4,40.0,42.5,26.1,831.5,72.6,25.7,174.1,8.6,56.9,31.4,51.2,14.9,90.5,48.0,30.2,23.6,28.9,11.8,49.2,41.5,72.6
03/2014,1063.8,454.4,24.9,11.9,8.6,257.8,26.6,51.2,18.4,35.4,19.6,609.4,53.4,16.2,103.8,6.0,55.1,21.9,32.0,11.8,62.2,31.4,19.4,16.2,17.3,21.2,40.0,32.7,68.8
02/2014,806.2,367.6,19.6,9.2,8.9,208.0,21.7,42.1,14.9,26.2,17.1,438.6,35.2,8.5,76.4,5.2,35.8,13.1,21.5,9.8,46.1,22.9,12.0,8.6,15.2,15.6,27.4,25.0,60.4
01/2014,682.9,310.7,15.8,9.3,7.9,166.3,21.8,39.4,13.4,23.0,13.9,372.2,26.9,7.2,57.4,3.9,32.0,12.3,16.4,7.4,33.1,19.0,21.1,6.1,14.4,12.2,18.3,29.3,55.2
12/2013,860.9,427.6,21.2,11.7,8.0,252.8,26.1,45.1,14.5,28.7,19.4,433.3,27.6,9.7,86.5,3.4,42.3,14.6,15.3,9.4,38.7,22.7,15.8,8.8,15.3,13.4,24.2,25.7,19.0
11/2013,915.4,399.4,19.5,10.6,8.3,223.4,25.4,47.8,15.5,28.4,20.5,516.0,37.3,11.9,87.1,5.1,35.7,18.7,28.2,8.8,50.5,31.9,18.0,9.4,22.1,14.0,46.2,35.3,18.9
10/2013,1440.2,479.6,22.2,12.8,9.9,273.9,30.4,50.7,20.8,34.8,24.0,960.6,81.5,25.8,167.5,11.1,44.6,44.8,58.7,10.9,121.9,56.2,39.8,23.5,31.6,17.4,70.7,61.6,30.8
09/2013,1688.8,529.4,20.7,21.1,7.8,315.9,30.4,45.7,24.3,38.4,25.2,1159.4,89.5,36.2,166.7,12.8,48.1,46.6,54.2,13.1,153.8,73.0,138.0,26.1,45.8,18.4,72.7,65.0,36.9
08/2013,2187.0,754.0,30.3,34.5,7.0,463.1,41.1,60.8,37.4,52.0,27.7,1433.0,118.9,48.4,336.5,12.7,84.5,54.1,45.6,14.7,160.3,70.1,166.2,19.2,44.1,18.8,67.8,58.6,37.8
07/2013,1991.1,632.4,29.4,31.2,9.2,356.0,33.8,60.7,30.9,52.8,28.5,1358.7,134.6,60.5,183.9,14.4,54.9,66.4,79.3,13.0,145.7,75.4,160.9,29.8,53.0,15.1,92.8,75.5,34.0
06/2013,1750.5,622.4,26.9,23.4,9.3,360.3,33.7,60.7,32.6,48.8,26.7,1128.1,92.4,31.6,158.1,13.1,50.2,42.4,52.5,13.0,150.2,57.5,148.8,22.0,43.7,15.0,88.6,57.3,32.7
05/2013,1603.8,519.1,24.2,15.4,8.8,301.4,28.3,59.6,22.5,36.9,22.0,1084.7,93.9,28.5,238.3,14.2,43.8,46.2,53.6,10.9,148.8,55.7,71.5,20.6,31.6,12.2,76.6,58.7,27.7
04/2013,1236.0,412.5,22.4,14.9,8.4,204.5,27.1,50.8,26.3,35.2,23.0,823.5,61.1,25.2,196.1,8.5,60.4,34.1,45.2,11.1,87.2,45.8,32.0,21.7,31.4,11.0,50.9,40.0,20.1
03/2013,1139.1,534.1,26.1,13.7,8.4,286.6,35.0,57.4,34.2,39.8,33.0,605.0,52.5,15.4,100.9,7.9,54.1,17.2,31.4,11.8,71.5,32.6,21.1,15.7,23.8,18.6,38.0,33.9,58.6
02/2013,757.7,339.9,15.8,9.9,7.4,187.3,21.6,41.8,15.5,25.7,14.8,417.8,31.7,11.1,65.4,5.2,30.4,14.9,22.5,10.0,47.0,23.7,12.6,8.8,17.6,18.3,23.4,24.5,50.5
01/2013,637.2,300.9,16.6,8.2,6.2,157.1,20.1,39.3,12.3,23.5,17.6,336.3,22.8,6.8,60.3,2.8,28.7,11.0,15.2,7.6,31.6,16.2,14.3,6.9,17.2,10.5,16.5,25.4,42.6
12/2012,773.4,390.5,15.3,10.0,10.2,229.3,25.3,42.6,14.6,25.9,17.3,382.9,22.7,9.4,87.4,2.9,39.0,11.6,15.6,8.3,29.9,16.2,12.8,8.7,18.1,11.9,23.2,22.6,42.6
