Month/year,Total,Alemanya,Bèlgica,França,Irlanda,Itàlia,Països Baixos,Nordic countries,Portugal,Regne Unit,Rússia,Suïssa,Resta d'Europa,Estats Units,Rest d'America,Resta del món
12/2018 (p),977.2,58.6,14.6,199,11.9,100.6,21.9,23.5,0,92.7,24.9,14.7,118.1,62.1,57.7,169
11/2018 (p),1040.7,71.3,23.9,193.9,8.9,76,26.2,33.5,9.4,92.5,27.2,22.9,124.6,80.2,65.2,184.8
10/2018 (p),1655.6,129.4,22.3,311.1,29,94.1,69.9,75.5,0,184.3,49,12,218.2,148,91.8,211.1
09/2018 (p),2005.3,162.9,41.8,343,33.4,117.2,66.5,54.1,35,258.5,108.4,21.7,262.2,131.9,125.6,243.2
08/2018 (p),2439,186.7,57.6,755.5,45.1,160.9,118.6,66.7,17.4,278,107.4,22.1,240.6,103.8,97.6,180.8
07/2018 (p),2385.7,175.1,67.9,516,53.5,114.2,153.1,125.3,28.1,221,119.2,36.3,229.7,172,116.5,257.9
06/2018 (p),2090.4,136.7,37.7,308.1,48.4,100.6,67,103.1,20.1,279.6,117.2,20.5,275.2,211.1,100.7,264.4
May-18,1885.4,154.1,31.1,444.3,30.2,77.8,65.8,84.7,16.4,211.1,53.9,22.5,226.8,160.9,114.4,191.3
Apr-18,1570.9,94.4,38.8,405.9,19.4,115.5,55.6,46.9,13.9,158.6,40.9,12.5,191.1,111.7,92.4,173.5
Mar-18,1217.3,122.4,28,261.7,10.7 (*),79.2,32.4,48,9.3 (*),138.3,30.5,20.3,141.5,79.4,63.5,152
Feb-18,1015.8,85.7,20.2,218.4,11.7,66.7,29.9,28.1,17.2,97.8,21.7,19.1,124,44,86.1,145.1
Jan-18,864.8,40.6,17.8,179.8,8.8 (*),93.9,29.7,17.7,6.5 (*),74.4,26.3,22.3,103.1,54.7,70.1,119.1
Dec-17,822.8,50.5,16.5,176.4,11,82.7,19.6,25.5,12.1,65.8,26.7,30,65.3,57.5,62.9,120.3
Nov-17,981.5,77.7,20.3,219.5,10.3,71.3,22.7,31.3,7.3 (*),92.5,23.8,25.8,139.3,57,69.1,113.5
Oct-17,1497,123.6,32.4,296.8,21.1,83.7,64.5,76.2,9.7,159.9,35.5,51.8,172.9,87.1,109,172.8
Sep-17,1999.7,210.7,56.1,355.1,27.4,105.2,72.6,75.6,19.4,250.2,102.5,47.9,187,168.7,131.3,190
Aug-17,2567.6,196.6,56.4,749,36.1,139.3,155.6,87.6,28.2,339,115.3,16.8,237.8,96.7,97.6,215.7
Jul-17,2557.1,188.5,85.8,596,49.5,136,183.3,134.1,12.1 (*),260.6,117.1,46.4,255.3,144.4,106.8,241.2
Jun-17,2026.4,164.5,38.1,353.6,50.3,96.9,74.2,100.3,28.9,287.4,101.1,32.1,194.8,161.6,114.1,228.4
May-17,1920.9,146.4,37.9,481.6,58.6,113.3,76.4,76.6,8.0 (*),247.4,54.4,24.5,161.7,124.7,99.9,209.7
Apr-17,1755,152.1,46.6,530.2,25.8,134.4,43.8,84.5,18.6,157.3,42.4,55.1,125.7,71.8,85.2,181.5
Mar-17,1155,93.6,19.5,261.2,..,96.3,23.5,39.5,10.5,131.5,23.4,27.2,164.7,74.6,54.7,133.3
Feb-17,989.2,95.5,19.6,273.9,5.9 (*),67,28.3,23.6,12.9 (*),115.5,23.6,27.3,108.5,35.5,60.9,91.4
Jan-17,846.2,69.1,17.7,194,2.8 (*),82.8,21,30.6,6.3 (*),67.4,35.7,14.4,99.2,34.5,63.4,107.3
Dec-16,956.5,59.9,14.1,281,10.3 (*),87.6,21,36.1,6.9 (*),70.4,17.4,22,104.8,48.6,49.3,127.1
Nov-16,1010,92.9,19.1,239.1,17,72.7,26,37.9,5.2 (*),93.5,20.1,12.3,154.2,48.2,57,114.7
Oct-16,1562.9,140.2,23.8,397.6,22.8,74.7,45.6,78.2,28.6,182.2,36.6,24.1,178,74.5,87.1,168.8
Sep-16,1876.9,191.5,46.9,354.9,37.9,89.6,66.9,95.3,19.4 (*),249,73.3,46.1,196.2,106.6,92.7,210.5
Aug-16,2501.2,194.9,65,788.8,55.6,194.1,152.8,59.5,22.6,290.1,93.5,17.5,208.6,85.6,79.9,192.6
Jul-16,2394.8,174.4,109.3,557.4,73.7,129.6,131.2,109.1,10.9 (*),255.4,84.9,23.5,239.8,131.7,113.8,250
Jun-16,1850.8,160.2,31.9,364.7,46.7,138.7,51.7,80.9,24.5 (*),281.8,92.9,29.9,166.2,137.7,79.7,163.4
May-16,1630.4,149.9,39.2,444.1,34.4,66.4,67.7,67.2,29.1,203,51.5,35.4,133.9,78.8,68.4,161.4
Apr-16,1483,143.1,27.3,471.6,25,108.7,75.1,65.2,15.7 (*),162.5,29.6,22.1,113.5,44,57.5,122.3
Mar-16,1076.4,100.2,18.8,216.3,13.7,74.7,39.1,51.3,23.9,117.8,18.9,32.6,149.8,56.1,46.4,116.8
Feb-16,930.4,70.3,23,241.8,3.4 (*),76.3,31.4,39.6,15,89.2,15.9,30.3,83.6,31.9,51.3,127.4
Jan-16,865.8,61.1,16.7,216.9,13.5,75.8,28.9,24.2,13.9,66.1,26.9,27.6,106.6,20.3,53.7,113.6
