,total_values,Country,Turistes_BCN,Total_BCN_Hotel,difference_in_thousands
0,1568800.0,Alemanya,878065.8255393049,,
1,446900.0,Bèlgica,250132.34155629482,,
2,4487300.0,França,2511566.0243131835,609778.0,1901788.0243131835
3,298800.0,Irlanda,167239.97238089258,,
4,1208900.0,Itàlia,676627.8534513422,,
5,785500.0,Països Baixos,439648.5887054589,,
6,785400.0,Nordic countries,439592.61816584016,,
7,174000.0,Portugal,97388.73893666436,,
8,2174500.0,Regne Unit,1217079.3840102106,657877.0,559202.3840102106
9,701500.0,Rússia,392633.33542568993,,
10,399300.0,Suïssa,223490.36469775907,,
11,1912200.0,Resta d'Europa,1070268.65859017,,
12,1114100.0,Estats Units,623567.7818927458,726969.0,-103401.21810725424
13,1054900.0,Rest d'America,590433.2224384324,,
14,2005100.0,Resta del món,1122265.2898960097,,
